,year,month,global,northern,southern,bin
0,1880,1,-0.17,-0.34,0.01,2
1,1880,2,-0.23,-0.5,0.04,2
2,1880,3,-0.08,-0.22,0.06,2
3,1880,4,-0.15,-0.28,-0.01,2
4,1880,5,-0.08,-0.04,-0.12,2
5,1880,6,-0.2,-0.14,-0.24,2
6,1880,7,-0.17,-0.16,-0.16,2
7,1880,8,-0.09,-0.24,0.07,2
8,1880,9,-0.13,-0.21,-0.04,2
9,1880,10,-0.22,-0.3,-0.14,2
10,1880,11,-0.2,-0.41,0.01,2
11,1880,12,-0.16,-0.38,0.06,2
12,1881,1,-0.18,-0.3,-0.08,2
13,1881,2,-0.13,-0.21,-0.06,2
14,1881,3,0.04,-0.03,0.1,3
15,1881,4,0.06,0.02,0.1,3
16,1881,5,0.08,0.05,0.09,3
17,1881,6,-0.17,-0.31,-0.05,2
18,1881,7,0.02,0.1,-0.07,3
19,1881,8,-0.02,-0.02,-0.02,2
20,1881,9,-0.14,-0.25,-0.04,2
21,1881,10,-0.2,-0.41,0.0,2
22,1881,11,-0.17,-0.35,0.01,2
23,1881,12,-0.05,-0.21,0.1,2
24,1882,1,0.18,0.28,0.08,3
25,1882,2,0.15,0.23,0.08,3
26,1882,3,0.06,0.03,0.08,3
27,1882,4,-0.15,-0.3,-0.01,2
28,1882,5,-0.13,-0.23,-0.03,2
29,1882,6,-0.21,-0.28,-0.15,2
30,1882,7,-0.15,-0.26,-0.04,2
31,1882,8,-0.06,-0.13,0.02,2
32,1882,9,-0.13,-0.23,-0.04,2
33,1882,10,-0.23,-0.51,0.04,2
34,1882,11,-0.15,-0.31,0.0,2
35,1882,12,-0.34,-0.66,-0.06,1
36,1883,1,-0.28,-0.56,-0.01,2
37,1883,2,-0.36,-0.65,-0.07,1
38,1883,3,-0.11,-0.14,-0.08,2
39,1883,4,-0.17,-0.27,-0.06,2
40,1883,5,-0.16,-0.23,-0.09,2
41,1883,6,-0.07,-0.11,-0.02,2
42,1883,7,-0.05,-0.01,-0.08,2
43,1883,8,-0.12,-0.2,-0.05,2
44,1883,9,-0.2,-0.3,-0.1,2
45,1883,10,-0.1,-0.14,-0.06,2
46,1883,11,-0.22,-0.41,-0.04,2
47,1883,12,-0.1,-0.14,-0.05,2
48,1884,1,-0.12,-0.16,-0.08,2
49,1884,2,-0.07,-0.1,-0.05,2
50,1884,3,-0.36,-0.63,-0.1,1
51,1884,4,-0.39,-0.58,-0.21,1
52,1884,5,-0.33,-0.35,-0.31,1
53,1884,6,-0.34,-0.4,-0.29,1
54,1884,7,-0.32,-0.43,-0.21,1
55,1884,8,-0.27,-0.5,-0.06,2
56,1884,9,-0.26,-0.43,-0.11,2
57,1884,10,-0.24,-0.43,-0.06,2
58,1884,11,-0.32,-0.56,-0.1,1
59,1884,12,-0.3,-0.46,-0.15,2
60,1885,1,-0.58,-1.0,-0.19,1
61,1885,2,-0.33,-0.45,-0.22,1
62,1885,3,-0.25,-0.22,-0.3,2
63,1885,4,-0.41,-0.47,-0.35,1
64,1885,5,-0.44,-0.58,-0.32,1
65,1885,6,-0.43,-0.44,-0.42,1
66,1885,7,-0.33,-0.33,-0.33,1
67,1885,8,-0.3,-0.4,-0.22,2
68,1885,9,-0.28,-0.38,-0.19,2
69,1885,10,-0.23,-0.36,-0.13,2
70,1885,11,-0.23,-0.37,-0.1,2
71,1885,12,-0.09,-0.1,-0.09,2
72,1886,1,-0.43,-0.74,-0.14,1
73,1886,2,-0.5,-0.83,-0.19,1
74,1886,3,-0.42,-0.71,-0.16,1
75,1886,4,-0.27,-0.36,-0.19,2
76,1886,5,-0.23,-0.32,-0.15,2
77,1886,6,-0.34,-0.36,-0.31,1
78,1886,7,-0.17,-0.13,-0.21,2
79,1886,8,-0.3,-0.42,-0.18,2
80,1886,9,-0.23,-0.32,-0.14,2
81,1886,10,-0.27,-0.3,-0.24,2
82,1886,11,-0.26,-0.38,-0.14,2
83,1886,12,-0.24,-0.2,-0.28,2
84,1887,1,-0.71,-1.07,-0.36,0
85,1887,2,-0.56,-0.69,-0.43,1
86,1887,3,-0.35,-0.42,-0.27,1
87,1887,4,-0.34,-0.37,-0.3,1
88,1887,5,-0.29,-0.24,-0.34,2
89,1887,6,-0.24,-0.19,-0.27,2
90,1887,7,-0.25,-0.23,-0.27,2
91,1887,8,-0.34,-0.53,-0.16,1
92,1887,9,-0.25,-0.19,-0.29,2
93,1887,10,-0.35,-0.48,-0.22,1
94,1887,11,-0.25,-0.26,-0.24,2
95,1887,12,-0.32,-0.42,-0.22,1
96,1888,1,-0.33,-0.48,-0.2,1
97,1888,2,-0.35,-0.6,-0.13,1
98,1888,3,-0.41,-0.63,-0.21,1
99,1888,4,-0.2,-0.21,-0.19,2
100,1888,5,-0.21,-0.14,-0.29,2
101,1888,6,-0.17,-0.02,-0.31,2
102,1888,7,-0.1,0.01,-0.2,2
103,1888,8,-0.15,-0.2,-0.1,2
104,1888,9,-0.11,-0.18,-0.05,2
105,1888,10,0.02,-0.03,0.06,3
106,1888,11,0.03,0.0,0.07,3
107,1888,12,-0.03,-0.22,0.15,2
