iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
SGP,Asia,Singapore,01-23-2020,1,1,,,,,0.171,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,01-24-2020,3,2,,,,,0.513,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,01-25-2020,3,0,,,,,0.513,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,01-26-2020,4,1,,,,,0.684,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,01-27-2020,5,1,,,,,0.855,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,01-28-2020,7,2,1,,,0,1.197,0.342,0.171,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,01-29-2020,7,0,1,,,0,1.197,0,0.171,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,01-30-2020,10,3,1.286,,,0,1.709,0.513,0.22,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,01-31-2020,13,3,1.429,,,0,2.222,0.513,0.244,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-01-2020,16,3,1.857,,,0,2.735,0.513,0.317,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-02-2020,18,2,2,,,0,3.077,0.342,0.342,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-03-2020,18,0,1.857,,,0,3.077,0,0.317,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-04-2020,24,6,2.429,,,0,4.102,1.026,0.415,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-05-2020,28,4,3,,,0,4.786,0.684,0.513,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-06-2020,28,0,2.571,,,0,4.786,0,0.44,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-07-2020,30,2,2.429,,,0,5.128,0.342,0.415,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-08-2020,33,3,2.429,,,0,5.641,0.513,0.415,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-09-2020,40,7,3.143,,,0,6.837,1.197,0.537,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-10-2020,45,5,3.857,,,0,7.692,0.855,0.659,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-11-2020,47,2,3.286,,,0,8.034,0.342,0.562,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-12-2020,50,3,3.143,,,0,8.547,0.513,0.537,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-13-2020,58,8,4.286,,,0,9.914,1.367,0.733,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-14-2020,67,9,5.286,,,0,11.452,1.538,0.903,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-15-2020,72,5,5.571,,,0,12.307,0.855,0.952,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-16-2020,75,3,5,,,0,12.82,0.513,0.855,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-17-2020,77,2,4.571,,,0,13.162,0.342,0.781,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-18-2020,81,4,4.857,,,0,13.845,0.684,0.83,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-19-2020,84,3,4.857,,,0,14.358,0.513,0.83,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-20-2020,84,0,3.714,,,0,14.358,0,0.635,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-21-2020,85,1,2.571,,,0,14.529,0.171,0.44,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-22-2020,85,0,1.857,,,0,14.529,0,0.317,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-23-2020,89,4,2,,,0,15.213,0.684,0.342,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
SGP,Asia,Singapore,02-24-2020,89,0,1.714,,,0,15.213,0,0.293,,,0,,,,,,,,,,,,,,,,,,,,,,,,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
