remaining_lease,mean
48,4522.1
49,4802.1
50,4646.3
51,4677.9
52,4666.0
53,4947.6
54,5141.4
55,4819.1
56,5539.4
57,4893.8
58,4820.3
59,4535.6
60,4726.4
61,4565.9
62,4584.5
63,4511.8
64,4372.2
65,4369.3
66,4297.9
67,4486.5
68,4384.0
69,4236.0
70,4085.1
71,3952.1
72,3673.7
73,4819.6
74,4266.0
75,3780.0
76,3914.9
77,3871.0
78,4091.2
79,4051.1
80,4158.2
81,3954.7
82,4330.5
83,4136.3
84,4481.6
85,4416.7
86,4740.2
87,6002.7
88,6780.2
89,4495.6
90,6488.7
91,5450.0
92,7708.7
93,6668.5
94,5583.9
95,5185.3
96,8673.3
